Image_Folder,Type,Type_encoded
samples/train_images/40.693441764855855_-106.67741682336091.png,Negative,3
samples/train_images/35.12582817186615_-96.78225291618212.png,Negative,3
samples/train_images/39.63801272919165_-90.75772497727404.png,Negative,3
samples/train_images/28.84344022231737_-82.66275580041895.png,Negative,3
samples/train_images/29.328057174703765_-89.59833779825269.png,Negative,3
samples/train_images/45.09744769320058_-109.81039491336816.png,Negative,3
samples/train_images/31.820349115038766_-86.7805559394074.png,Negative,3
samples/train_images/32.9355173403876_-116.08229494193051.png,Negative,3
samples/train_images/38.63452913560649_-94.53864225386616.png,Negative,3
samples/train_images/44.272214652000905_-73.37487792783065.png,Negative,3
samples/train_images/45.65214253772636_-122.50182303928771.png,Negative,3
samples/train_images/39.5408115579667_-107.61669272754706.png,Negative,3
samples/train_images/38.2940298782346_-76.59875065975858.png,Negative,3
samples/train_images/47.99898408225533_-100.15437132264488.png,Negative,3
samples/train_images/25.12639856770093_-80.34512901959766.png,Negative,3
samples/train_images/45.6336254846416_-116.48310122653967.png,Negative,3
samples/train_images/44.99376355444473_-93.59880353758406.png,Negative,3
samples/train_images/31.097535859497576_-86.89698934546465.png,Negative,3
samples/train_images/27.15465352998234_-80.21486399496956.png,Negative,3
samples/train_images/39.80867482680875_-109.75474720117168.png,Negative,3
samples/train_images/43.82632019773995_-69.80270890267555.png,Negative,3
samples/train_images/41.60011129419596_-94.72526459429778.png,Negative,3
samples/train_images/30.10252479909333_-95.36806734657203.png,Negative,3
samples/train_images/36.77039583425302_-120.62537202089572.png,Negative,3
samples/train_images/35.732464114952194_-78.16417725585298.png,Negative,3
samples/train_images/36.08194930677194_-80.14522430204076.png,Negative,3
samples/train_images/47.20926871831681_-122.43249620599836.png,Negative,3
samples/train_images/32.6326507577777_-114.43390789406322.png,Negative,3
samples/train_images/45.26672525436203_-94.9167697031176.png,Negative,3
samples/train_images/39.11009204930373_-94.67920502106738.png,Negative,3
samples/train_images/30.892365026295067_-103.9516996292708.png,Negative,3
samples/train_images/26.938282264444563_-97.37191263148084.png,Negative,3
samples/train_images/42.86450892582506_-110.1205504627964.png,Negative,3
samples/train_images/29.48061442952408_-90.07515352678766.png,Negative,3
samples/train_images/35.367991266479265_-76.09164075836021.png,Negative,3
samples/train_images/30.26487841498757_-88.157995995817.png,Negative,3
samples/train_images/43.175138077627054_-76.44690320055145.png,Negative,3
samples/train_images/47.74054962541234_-119.0843250319551.png,Negative,3
samples/train_images/44.95663489957248_-86.09892566082958.png,Negative,3
samples/train_images/34.1105215867723_-81.21824140440793.png,Negative,3
samples/train_images/41.86463560629656_-96.79958294874746.png,Negative,3
samples/train_images/30.026987517898256_-84.36371363666665.png,Negative,3
samples/train_images/42.65382371409632_-113.33813061480282.png,Negative,3
samples/train_images/35.3185012650663_-119.92403967343348.png,Negative,3
samples/train_images/35.22680829040648_-103.27945571852852.png,Negative,3
samples/train_images/27.97069118540936_-82.51515552066314.png,Negative,3
samples/train_images/43.65443094963895_-113.02661746812426.png,Negative,3
samples/train_images/34.70745460042791_-118.30441753860718.png,Negative,3
samples/train_images/34.17138226022388_-119.2230091027192.png,Negative,3
samples/train_images/35.52988039927568_-101.9606263402524.png,Negative,3
samples/train_images/38.63033229917829_-76.20842868682068.png,Negative,3
samples/train_images/42.18574570202308_-112.97515145550122.png,Negative,3
samples/train_images/47.33951596171488_-124.32376516255049.png,Negative,3
samples/train_images/44.79212521047974_-113.98437160065644.png,Negative,3
samples/train_images/33.17282017061851_-115.44698357638184.png,Negative,3
samples/train_images/44.707651608376096_-103.00240483511736.png,Negative,3
samples/train_images/42.51851694546509_-99.74212868883924.png,Negative,3
samples/train_images/38.99521849196963_-121.39445663997276.png,Negative,3
samples/train_images/44.70223040604766_-120.24402621135374.png,Negative,3
samples/train_images/42.44343708679607_-87.9217845845717.png,Negative,3
samples/train_images/42.53191264630651_-94.08595738253187.png,Negative,3
samples/train_images/41.19774916733982_-109.39448819801731.png,Negative,3
samples/train_images/29.82703202287196_-98.32930103703254.png,Negative,3
samples/train_images/32.849423452695135_-85.9272515386846.png,Negative,3
samples/train_images/40.26363748442036_-76.77362181834569.png,Negative,3
samples/train_images/27.29346780679524_-81.64318487194537.png,Negative,3
samples/train_images/44.84829268128853_-110.82951799001825.png,Negative,3
samples/train_images/47.2955936679567_-122.42056867368407.png,Negative,3
samples/train_images/34.16986349389751_-118.22109831708326.png,Negative,3
samples/train_images/41.835557359235054_-98.10703102351592.png,Negative,3
samples/train_images/36.2209465851023_-94.0100919605482.png,Negative,3
samples/train_images/44.54099727682649_-87.45557743949871.png,Negative,3
samples/train_images/25.130495305956128_-80.50763695511446.png,Negative,3
samples/train_images/37.20675018745983_-85.23697478353522.png,Negative,3
samples/train_images/41.47272683079565_-82.17616469715836.png,Negative,3
