Image_Folder,Label
samples/train_images/37.4846615524_-120.911345486.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/44.156046_-95.944686.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/34.97102787_-77.83076532.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.5597697_-92.60627194.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/31.761336_-85.693611.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/38.724818_-87.082898.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/39.0275996_-75.9167334.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/45.53997889_-96.61817112.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/34.71769393_-78.80143095.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.9752183_-93.82953817.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.92897353_-93.90890254.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/31.23777_-86.30509.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/36.143121_-119.262712.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/44.59001392_-95.90879365.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/46.267427_-95.09222.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/44.1651408_-96.26546574.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/45.46210583_-94.3355026.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/46.55122_-96.18698.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/35.82750235_-76.32017885.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/40.38834_-86.312051.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/35.08716845_-80.24910469.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/40.909381_-86.361302.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/34.612778_-85.732222.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/33.926083_-93.845472.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.63443_-92.39138.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/40.392456_-85.074118.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.706026_-94.057231.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/44.1512628123769_-93.3695454697267.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.8203_-96.08345.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/35.139226_-77.4744116.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.73968849_-94.45323187.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.82631851_-96.33100237.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.57371766_-92.42308987.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/44.21161522_-94.69925188.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.95301727_-93.16644806.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.52333_-92.48428.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/48.00127_-95.9978.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/44.25115586_-94.76214843.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/34.0016228429_-117.637667604.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/45.03901201_-94.9933853.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/35.13542823_-78.34305075.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/33.899831_-86.37566.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/40.612351_-86.513005.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/44.33675103_-94.52497621.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/40.868889_-85.801622.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/43.5015007_-96.37896325.png,"[1, 0, 0, 0, 0, 0, 0]"
samples/train_images/33.8154956032_-117.035619467.png,"[1, 0, 0, 0, 0, 0, 0]"
