,Image_Folder,Type
0,augmented_final/04001.png,Landfills
1,augmented_final/04002.png,Landfills
2,augmented_final/04003.png,Landfills
3,augmented_final/04004.png,Landfills
4,augmented_final/04005.png,Landfills
5,augmented_final/04006.png,Landfills
6,augmented_final/04007.png,Landfills
7,augmented_final/04008.png,Landfills
8,augmented_final/04009.png,Landfills
9,augmented_final/04010.png,Landfills
10,augmented_final/04011.png,Landfills
11,augmented_final/04012.png,Landfills
12,augmented_final/04013.png,Landfills
13,augmented_final/04014.png,Landfills
14,augmented_final/04015.png,Landfills
15,augmented_final/04016.png,Landfills
16,augmented_final/04017.png,Landfills
17,augmented_final/04018.png,Landfills
18,augmented_final/04019.png,Landfills
19,augmented_final/04020.png,Landfills
20,augmented_final/04021.png,Landfills
21,augmented_final/04022.png,Landfills
22,augmented_final/04023.png,Landfills
23,augmented_final/04024.png,Landfills
24,augmented_final/04025.png,Landfills
25,augmented_final/04026.png,Landfills
26,augmented_final/04027.png,Landfills
27,augmented_final/04028.png,Landfills
28,augmented_final/04029.png,Landfills
29,augmented_final/04030.png,Landfills
30,augmented_final/04031.png,Landfills
31,augmented_final/04032.png,Landfills
32,augmented_final/04033.png,Landfills
33,augmented_final/04034.png,Landfills
34,augmented_final/04035.png,Landfills
35,augmented_final/04036.png,Landfills
36,augmented_final/04037.png,Landfills
37,augmented_final/04038.png,Landfills
38,augmented_final/04039.png,Landfills
39,augmented_final/04040.png,Landfills
40,augmented_final/04041.png,Landfills
41,augmented_final/04042.png,Landfills
42,augmented_final/04043.png,Landfills
43,augmented_final/04044.png,Landfills
44,augmented_final/04045.png,Landfills
45,augmented_final/04046.png,Landfills
46,augmented_final/04047.png,Landfills
47,augmented_final/04048.png,Landfills
48,augmented_final/04049.png,Landfills
49,augmented_final/04050.png,Landfills
50,augmented_final/04051.png,Landfills
51,augmented_final/04052.png,Landfills
52,augmented_final/04053.png,Landfills
53,augmented_final/04054.png,Landfills
54,augmented_final/04055.png,Landfills
55,augmented_final/04056.png,Landfills
56,augmented_final/04057.png,Landfills
57,augmented_final/04058.png,Landfills
58,augmented_final/04059.png,Landfills
59,augmented_final/04060.png,Landfills
60,augmented_final/04061.png,Landfills
61,augmented_final/04062.png,Landfills
62,augmented_final/04063.png,Landfills
63,augmented_final/04064.png,Landfills
64,augmented_final/04065.png,Landfills
65,augmented_final/04066.png,Landfills
66,augmented_final/04067.png,Landfills
67,augmented_final/04068.png,Landfills
68,augmented_final/04069.png,Landfills
69,augmented_final/04070.png,Landfills
70,augmented_final/04071.png,Landfills
71,augmented_final/04072.png,Landfills
72,augmented_final/04073.png,Landfills
73,augmented_final/04074.png,Landfills
74,augmented_final/04075.png,Landfills
75,augmented_final/04076.png,Landfills
76,augmented_final/04077.png,Landfills
77,augmented_final/04078.png,Landfills
78,augmented_final/04079.png,Landfills
79,augmented_final/04080.png,Landfills
80,augmented_final/04081.png,Landfills
81,augmented_final/04082.png,Landfills
82,augmented_final/04083.png,Landfills
83,augmented_final/04084.png,Landfills
84,augmented_final/04085.png,Landfills
85,augmented_final/04086.png,Landfills
86,augmented_final/04087.png,Landfills
87,augmented_final/04088.png,Landfills
88,augmented_final/04089.png,Landfills
89,augmented_final/04090.png,Landfills
90,augmented_final/04091.png,Landfills
91,augmented_final/04092.png,Landfills
92,augmented_final/04093.png,Landfills
93,augmented_final/04094.png,Landfills
94,augmented_final/04095.png,Landfills
95,augmented_final/04096.png,Landfills
96,augmented_final/04097.png,Landfills
97,augmented_final/04098.png,Landfills
98,augmented_final/04099.png,Landfills
99,augmented_final/04100.png,Landfills
100,augmented_final/04101.png,Landfills
101,augmented_final/04102.png,Landfills
102,augmented_final/04103.png,Landfills
103,augmented_final/04104.png,Landfills
104,augmented_final/04105.png,Landfills
105,augmented_final/04106.png,Landfills
106,augmented_final/04107.png,Landfills
107,augmented_final/04108.png,Landfills
108,augmented_final/04109.png,Landfills
109,augmented_final/04110.png,Landfills
110,augmented_final/04111.png,Landfills
111,augmented_final/04112.png,Landfills
112,augmented_final/04113.png,Landfills
113,augmented_final/04114.png,Landfills
114,augmented_final/04115.png,Landfills
115,augmented_final/04116.png,Landfills
116,augmented_final/04117.png,Landfills
117,augmented_final/04118.png,Landfills
118,augmented_final/04119.png,Landfills
119,augmented_final/04120.png,Landfills
120,augmented_final/04121.png,Landfills
121,augmented_final/04122.png,Landfills
122,augmented_final/04123.png,Landfills
123,augmented_final/04124.png,Landfills
124,augmented_final/04125.png,Landfills
125,augmented_final/04126.png,Landfills
126,augmented_final/04127.png,Landfills
127,augmented_final/04128.png,Landfills
128,augmented_final/04129.png,Landfills
129,augmented_final/04130.png,Landfills
130,augmented_final/04131.png,Landfills
131,augmented_final/04132.png,Landfills
132,augmented_final/04133.png,Landfills
133,augmented_final/04134.png,Landfills
134,augmented_final/04135.png,Landfills
135,augmented_final/04136.png,Landfills
136,augmented_final/04137.png,Landfills
137,augmented_final/04138.png,Landfills
138,augmented_final/04139.png,Landfills
139,augmented_final/04140.png,Landfills
140,augmented_final/04141.png,Landfills
141,augmented_final/04142.png,Landfills
142,augmented_final/04143.png,Landfills
143,augmented_final/04144.png,Landfills
144,augmented_final/04145.png,Landfills
145,augmented_final/04146.png,Landfills
146,augmented_final/04147.png,Landfills
147,augmented_final/04148.png,Landfills
148,augmented_final/04149.png,Landfills
149,augmented_final/04150.png,Landfills
150,augmented_final/04151.png,Landfills
151,augmented_final/04152.png,Landfills
152,augmented_final/04153.png,Landfills
153,augmented_final/04154.png,Landfills
154,augmented_final/04155.png,Landfills
155,augmented_final/04156.png,Landfills
156,augmented_final/04157.png,Landfills
157,augmented_final/04158.png,Landfills
158,augmented_final/04159.png,Landfills
159,augmented_final/04160.png,Landfills
160,augmented_final/04161.png,Landfills
161,augmented_final/04162.png,Landfills
162,augmented_final/04163.png,Landfills
163,augmented_final/04164.png,Landfills
164,augmented_final/04165.png,Landfills
165,augmented_final/04166.png,Landfills
166,augmented_final/04167.png,Landfills
167,augmented_final/04168.png,Landfills
