Unnamed: 0,Image_Folder,Type
0,augmented_final/20732.png,Negative
1,augmented_final/20733.png,Negative
2,augmented_final/20734.png,Negative
3,augmented_final/20735.png,Negative
4,augmented_final/20736.png,Negative
5,augmented_final/20737.png,Negative
6,augmented_final/20738.png,Negative
7,augmented_final/20739.png,Negative
8,augmented_final/20740.png,Negative
9,augmented_final/20741.png,Negative
10,augmented_final/20742.png,Negative
11,augmented_final/20743.png,Negative
12,augmented_final/20744.png,Negative
13,augmented_final/20745.png,Negative
14,augmented_final/20746.png,Negative
15,augmented_final/20747.png,Negative
16,augmented_final/20748.png,Negative
17,augmented_final/20749.png,Negative
18,augmented_final/20750.png,Negative
19,augmented_final/20751.png,Negative
20,augmented_final/20752.png,Negative
21,augmented_final/20753.png,Negative
22,augmented_final/20754.png,Negative
23,augmented_final/20755.png,Negative
24,augmented_final/20756.png,Negative
25,augmented_final/20757.png,Negative
26,augmented_final/20758.png,Negative
27,augmented_final/20759.png,Negative
28,augmented_final/20760.png,Negative
29,augmented_final/20761.png,Negative
30,augmented_final/20762.png,Negative
31,augmented_final/20763.png,Negative
32,augmented_final/20764.png,Negative
33,augmented_final/20765.png,Negative
34,augmented_final/20766.png,Negative
35,augmented_final/20767.png,Negative
36,augmented_final/20768.png,Negative
37,augmented_final/20769.png,Negative
38,augmented_final/20770.png,Negative
39,augmented_final/20771.png,Negative
40,augmented_final/20772.png,Negative
41,augmented_final/20773.png,Negative
42,augmented_final/20774.png,Negative
43,augmented_final/20775.png,Negative
44,augmented_final/20776.png,Negative
45,augmented_final/20777.png,Negative
46,augmented_final/20778.png,Negative
47,augmented_final/20779.png,Negative
48,augmented_final/20780.png,Negative
49,augmented_final/20781.png,Negative
50,augmented_final/20782.png,Negative
51,augmented_final/20783.png,Negative
52,augmented_final/20784.png,Negative
53,augmented_final/20785.png,Negative
54,augmented_final/20786.png,Negative
55,augmented_final/20787.png,Negative
56,augmented_final/20788.png,Negative
57,augmented_final/20789.png,Negative
58,augmented_final/20790.png,Negative
59,augmented_final/20791.png,Negative
60,augmented_final/20792.png,Negative
61,augmented_final/20793.png,Negative
62,augmented_final/20794.png,Negative
63,augmented_final/20795.png,Negative
64,augmented_final/20796.png,Negative
65,augmented_final/20797.png,Negative
66,augmented_final/20798.png,Negative
67,augmented_final/20799.png,Negative
68,augmented_final/20800.png,Negative
69,augmented_final/20801.png,Negative
70,augmented_final/20802.png,Negative
71,augmented_final/20803.png,Negative
72,augmented_final/20804.png,Negative
73,augmented_final/20805.png,Negative
74,augmented_final/20806.png,Negative
75,augmented_final/20807.png,Negative
76,augmented_final/20808.png,Negative
77,augmented_final/20809.png,Negative
78,augmented_final/20810.png,Negative
79,augmented_final/20811.png,Negative
80,augmented_final/20812.png,Negative
81,augmented_final/20813.png,Negative
82,augmented_final/20814.png,Negative
83,augmented_final/20815.png,Negative
84,augmented_final/20816.png,Negative
85,augmented_final/20817.png,Negative
86,augmented_final/20818.png,Negative
87,augmented_final/20819.png,Negative
88,augmented_final/20820.png,Negative
89,augmented_final/20821.png,Negative
90,augmented_final/20822.png,Negative
91,augmented_final/20823.png,Negative
92,augmented_final/20824.png,Negative
93,augmented_final/20825.png,Negative
94,augmented_final/20826.png,Negative
95,augmented_final/20827.png,Negative
96,augmented_final/20828.png,Negative
97,augmented_final/20829.png,Negative
98,augmented_final/20830.png,Negative
99,augmented_final/20831.png,Negative
100,augmented_final/20832.png,Negative
101,augmented_final/20833.png,Negative
102,augmented_final/20834.png,Negative
103,augmented_final/20835.png,Negative
104,augmented_final/20836.png,Negative
