,Image_Folder,Type
0,augmented_final/12269.png,ProcessingPlants
1,augmented_final/12270.png,ProcessingPlants
2,augmented_final/12271.png,ProcessingPlants
3,augmented_final/12272.png,ProcessingPlants
4,augmented_final/12273.png,ProcessingPlants
5,augmented_final/12274.png,ProcessingPlants
6,augmented_final/12275.png,ProcessingPlants
7,augmented_final/12276.png,ProcessingPlants
8,augmented_final/12277.png,ProcessingPlants
9,augmented_final/12278.png,ProcessingPlants
10,augmented_final/12279.png,ProcessingPlants
11,augmented_final/12280.png,ProcessingPlants
12,augmented_final/12281.png,ProcessingPlants
13,augmented_final/12282.png,ProcessingPlants
14,augmented_final/12283.png,ProcessingPlants
15,augmented_final/12284.png,ProcessingPlants
16,augmented_final/12285.png,ProcessingPlants
17,augmented_final/12286.png,ProcessingPlants
18,augmented_final/12287.png,ProcessingPlants
19,augmented_final/12288.png,ProcessingPlants
20,augmented_final/12289.png,ProcessingPlants
21,augmented_final/12290.png,ProcessingPlants
22,augmented_final/12291.png,ProcessingPlants
23,augmented_final/12292.png,ProcessingPlants
24,augmented_final/12293.png,ProcessingPlants
25,augmented_final/12294.png,ProcessingPlants
26,augmented_final/12295.png,ProcessingPlants
27,augmented_final/12296.png,ProcessingPlants
28,augmented_final/12297.png,ProcessingPlants
29,augmented_final/12298.png,ProcessingPlants
30,augmented_final/12299.png,ProcessingPlants
31,augmented_final/12300.png,ProcessingPlants
32,augmented_final/12301.png,ProcessingPlants
33,augmented_final/12302.png,ProcessingPlants
34,augmented_final/12303.png,ProcessingPlants
35,augmented_final/12304.png,ProcessingPlants
36,augmented_final/12305.png,ProcessingPlants
37,augmented_final/12306.png,ProcessingPlants
38,augmented_final/12307.png,ProcessingPlants
39,augmented_final/12308.png,ProcessingPlants
40,augmented_final/12309.png,ProcessingPlants
41,augmented_final/12310.png,ProcessingPlants
42,augmented_final/12311.png,ProcessingPlants
43,augmented_final/12312.png,ProcessingPlants
44,augmented_final/12313.png,ProcessingPlants
45,augmented_final/12314.png,ProcessingPlants
46,augmented_final/12315.png,ProcessingPlants
47,augmented_final/12316.png,ProcessingPlants
48,augmented_final/12317.png,ProcessingPlants
49,augmented_final/12318.png,ProcessingPlants
50,augmented_final/12319.png,ProcessingPlants
51,augmented_final/12320.png,ProcessingPlants
52,augmented_final/12321.png,ProcessingPlants
