,Image_Folder,Type
0,augmented_final/02001.png,WWTreatment
1,augmented_final/02002.png,WWTreatment
2,augmented_final/02003.png,WWTreatment
3,augmented_final/02004.png,WWTreatment
4,augmented_final/02005.png,WWTreatment
5,augmented_final/02006.png,WWTreatment
6,augmented_final/02007.png,WWTreatment
7,augmented_final/02008.png,WWTreatment
8,augmented_final/02009.png,WWTreatment
9,augmented_final/02010.png,WWTreatment
10,augmented_final/02011.png,WWTreatment
11,augmented_final/02012.png,WWTreatment
12,augmented_final/02013.png,WWTreatment
13,augmented_final/02014.png,WWTreatment
14,augmented_final/02015.png,WWTreatment
15,augmented_final/02016.png,WWTreatment
16,augmented_final/02017.png,WWTreatment
17,augmented_final/02018.png,WWTreatment
18,augmented_final/02019.png,WWTreatment
19,augmented_final/02020.png,WWTreatment
20,augmented_final/02021.png,WWTreatment
21,augmented_final/02022.png,WWTreatment
22,augmented_final/02023.png,WWTreatment
23,augmented_final/02024.png,WWTreatment
24,augmented_final/02025.png,WWTreatment
25,augmented_final/02026.png,WWTreatment
26,augmented_final/02027.png,WWTreatment
27,augmented_final/02028.png,WWTreatment
28,augmented_final/02029.png,WWTreatment
29,augmented_final/02030.png,WWTreatment
30,augmented_final/02031.png,WWTreatment
31,augmented_final/02032.png,WWTreatment
32,augmented_final/02033.png,WWTreatment
33,augmented_final/02034.png,WWTreatment
34,augmented_final/02035.png,WWTreatment
35,augmented_final/02036.png,WWTreatment
36,augmented_final/02037.png,WWTreatment
37,augmented_final/02038.png,WWTreatment
38,augmented_final/02039.png,WWTreatment
39,augmented_final/02040.png,WWTreatment
40,augmented_final/02041.png,WWTreatment
41,augmented_final/02042.png,WWTreatment
42,augmented_final/02043.png,WWTreatment
43,augmented_final/02044.png,WWTreatment
44,augmented_final/02045.png,WWTreatment
45,augmented_final/02046.png,WWTreatment
46,augmented_final/02047.png,WWTreatment
47,augmented_final/02048.png,WWTreatment
48,augmented_final/02049.png,WWTreatment
49,augmented_final/02050.png,WWTreatment
50,augmented_final/02051.png,WWTreatment
51,augmented_final/02052.png,WWTreatment
52,augmented_final/02053.png,WWTreatment
53,augmented_final/02054.png,WWTreatment
54,augmented_final/02055.png,WWTreatment
55,augmented_final/02056.png,WWTreatment
56,augmented_final/02057.png,WWTreatment
57,augmented_final/02058.png,WWTreatment
58,augmented_final/02059.png,WWTreatment
59,augmented_final/02060.png,WWTreatment
60,augmented_final/02061.png,WWTreatment
61,augmented_final/02062.png,WWTreatment
62,augmented_final/02063.png,WWTreatment
63,augmented_final/02064.png,WWTreatment
64,augmented_final/02065.png,WWTreatment
65,augmented_final/02066.png,WWTreatment
66,augmented_final/02067.png,WWTreatment
67,augmented_final/02068.png,WWTreatment
68,augmented_final/02069.png,WWTreatment
69,augmented_final/02070.png,WWTreatment
70,augmented_final/02071.png,WWTreatment
71,augmented_final/02072.png,WWTreatment
72,augmented_final/02073.png,WWTreatment
73,augmented_final/02074.png,WWTreatment
74,augmented_final/02075.png,WWTreatment
75,augmented_final/02076.png,WWTreatment
76,augmented_final/02077.png,WWTreatment
77,augmented_final/02078.png,WWTreatment
78,augmented_final/02079.png,WWTreatment
79,augmented_final/02080.png,WWTreatment
80,augmented_final/02081.png,WWTreatment
81,augmented_final/02082.png,WWTreatment
82,augmented_final/02083.png,WWTreatment
83,augmented_final/02084.png,WWTreatment
84,augmented_final/02085.png,WWTreatment
85,augmented_final/02086.png,WWTreatment
86,augmented_final/02087.png,WWTreatment
87,augmented_final/02088.png,WWTreatment
88,augmented_final/02089.png,WWTreatment
89,augmented_final/02090.png,WWTreatment
90,augmented_final/02091.png,WWTreatment
91,augmented_final/02092.png,WWTreatment
92,augmented_final/02093.png,WWTreatment
93,augmented_final/02094.png,WWTreatment
94,augmented_final/02095.png,WWTreatment
95,augmented_final/02096.png,WWTreatment
96,augmented_final/02097.png,WWTreatment
97,augmented_final/02098.png,WWTreatment
98,augmented_final/02099.png,WWTreatment
