,Image_Folder,Type
0,augmented_final/16438.png,Mines
1,augmented_final/16439.png,Mines
2,augmented_final/16440.png,Mines
3,augmented_final/16441.png,Mines
4,augmented_final/16442.png,Mines
5,augmented_final/16443.png,Mines
6,augmented_final/16444.png,Mines
7,augmented_final/16445.png,Mines
8,augmented_final/16446.png,Mines
9,augmented_final/16447.png,Mines
10,augmented_final/16448.png,Mines
11,augmented_final/16449.png,Mines
12,augmented_final/16450.png,Mines
13,augmented_final/16451.png,Mines
14,augmented_final/16452.png,Mines
15,augmented_final/16453.png,Mines
16,augmented_final/16454.png,Mines
17,augmented_final/16455.png,Mines
18,augmented_final/16456.png,Mines
19,augmented_final/16457.png,Mines
20,augmented_final/16458.png,Mines
21,augmented_final/16459.png,Mines
22,augmented_final/16460.png,Mines
23,augmented_final/16461.png,Mines
24,augmented_final/16462.png,Mines
25,augmented_final/16463.png,Mines
26,augmented_final/16464.png,Mines
27,augmented_final/16465.png,Mines
28,augmented_final/16466.png,Mines
29,augmented_final/16467.png,Mines
30,augmented_final/16468.png,Mines
31,augmented_final/16469.png,Mines
32,augmented_final/16470.png,Mines
33,augmented_final/16471.png,Mines
34,augmented_final/16472.png,Mines
35,augmented_final/16473.png,Mines
36,augmented_final/16474.png,Mines
37,augmented_final/16475.png,Mines
38,augmented_final/16476.png,Mines
39,augmented_final/16477.png,Mines
40,augmented_final/16478.png,Mines
41,augmented_final/16479.png,Mines
42,augmented_final/16480.png,Mines
43,augmented_final/16481.png,Mines
44,augmented_final/16482.png,Mines
45,augmented_final/16483.png,Mines
46,augmented_final/16484.png,Mines
47,augmented_final/16485.png,Mines
48,augmented_final/16486.png,Mines
49,augmented_final/16487.png,Mines
50,augmented_final/16488.png,Mines
51,augmented_final/16489.png,Mines
52,augmented_final/16490.png,Mines
53,augmented_final/16491.png,Mines
54,augmented_final/16492.png,Mines
55,augmented_final/16493.png,Mines
56,augmented_final/16494.png,Mines
57,augmented_final/16495.png,Mines
58,augmented_final/16496.png,Mines
59,augmented_final/16497.png,Mines
60,augmented_final/16498.png,Mines
61,augmented_final/16499.png,Mines
62,augmented_final/16500.png,Mines
63,augmented_final/16501.png,Mines
64,augmented_final/16502.png,Mines
65,augmented_final/16503.png,Mines
66,augmented_final/16504.png,Mines
67,augmented_final/16505.png,Mines
68,augmented_final/16506.png,Mines
69,augmented_final/16507.png,Mines
70,augmented_final/16508.png,Mines
71,augmented_final/16509.png,Mines
72,augmented_final/16510.png,Mines
73,augmented_final/16511.png,Mines
74,augmented_final/16512.png,Mines
75,augmented_final/16513.png,Mines
76,augmented_final/16514.png,Mines
77,augmented_final/16515.png,Mines
78,augmented_final/16516.png,Mines
79,augmented_final/16517.png,Mines
80,augmented_final/16518.png,Mines
81,augmented_final/16519.png,Mines
82,augmented_final/16520.png,Mines
83,augmented_final/16521.png,Mines
84,augmented_final/16522.png,Mines
85,augmented_final/16523.png,Mines
86,augmented_final/16524.png,Mines
87,augmented_final/16525.png,Mines
88,augmented_final/16526.png,Mines
89,augmented_final/16527.png,Mines
90,augmented_final/16528.png,Mines
91,augmented_final/16529.png,Mines
92,augmented_final/16530.png,Mines
93,augmented_final/16531.png,Mines
94,augmented_final/16532.png,Mines
95,augmented_final/16533.png,Mines
96,augmented_final/16534.png,Mines
97,augmented_final/16535.png,Mines
98,augmented_final/16536.png,Mines
99,augmented_final/16537.png,Mines
100,augmented_final/16538.png,Mines
101,augmented_final/16539.png,Mines
102,augmented_final/16540.png,Mines
103,augmented_final/16541.png,Mines
104,augmented_final/16542.png,Mines
105,augmented_final/16543.png,Mines
106,augmented_final/16544.png,Mines
107,augmented_final/16545.png,Mines
108,augmented_final/16546.png,Mines
109,augmented_final/16547.png,Mines
110,augmented_final/16548.png,Mines
111,augmented_final/16549.png,Mines
112,augmented_final/16550.png,Mines
113,augmented_final/16551.png,Mines
114,augmented_final/16552.png,Mines
115,augmented_final/16553.png,Mines
116,augmented_final/16554.png,Mines
117,augmented_final/16555.png,Mines
118,augmented_final/16556.png,Mines
119,augmented_final/16557.png,Mines
120,augmented_final/16558.png,Mines
121,augmented_final/16559.png,Mines
122,augmented_final/16560.png,Mines
123,augmented_final/16561.png,Mines
124,augmented_final/16562.png,Mines
125,augmented_final/16563.png,Mines
126,augmented_final/16564.png,Mines
127,augmented_final/16565.png,Mines
128,augmented_final/16566.png,Mines
129,augmented_final/16567.png,Mines
130,augmented_final/16568.png,Mines
131,augmented_final/16569.png,Mines
132,augmented_final/16570.png,Mines
133,augmented_final/16571.png,Mines
134,augmented_final/16572.png,Mines
135,augmented_final/16573.png,Mines
136,augmented_final/16574.png,Mines
137,augmented_final/16575.png,Mines
138,augmented_final/16576.png,Mines
139,augmented_final/16577.png,Mines
140,augmented_final/16578.png,Mines
141,augmented_final/16579.png,Mines
142,augmented_final/16580.png,Mines
143,augmented_final/16581.png,Mines
144,augmented_final/16582.png,Mines
145,augmented_final/16583.png,Mines
146,augmented_final/16584.png,Mines
147,augmented_final/16585.png,Mines
148,augmented_final/16586.png,Mines
149,augmented_final/16587.png,Mines
150,augmented_final/16588.png,Mines
151,augmented_final/16589.png,Mines
152,augmented_final/16590.png,Mines
153,augmented_final/16591.png,Mines
154,augmented_final/16592.png,Mines
155,augmented_final/16593.png,Mines
156,augmented_final/16594.png,Mines
157,augmented_final/16595.png,Mines
158,augmented_final/16596.png,Mines
159,augmented_final/16597.png,Mines
160,augmented_final/16598.png,Mines
161,augmented_final/16599.png,Mines
162,augmented_final/16600.png,Mines
163,augmented_final/16601.png,Mines
164,augmented_final/16602.png,Mines
165,augmented_final/16603.png,Mines
166,augmented_final/16604.png,Mines
167,augmented_final/16605.png,Mines
