,Image_Folder,Type
0,augmented_final/10086.png,RefineriesAndTerminals
1,augmented_final/10087.png,RefineriesAndTerminals
2,augmented_final/10088.png,RefineriesAndTerminals
3,augmented_final/10089.png,RefineriesAndTerminals
4,augmented_final/10090.png,RefineriesAndTerminals
5,augmented_final/10091.png,RefineriesAndTerminals
6,augmented_final/10092.png,RefineriesAndTerminals
7,augmented_final/10093.png,RefineriesAndTerminals
8,augmented_final/10094.png,RefineriesAndTerminals
9,augmented_final/10095.png,RefineriesAndTerminals
10,augmented_final/10096.png,RefineriesAndTerminals
11,augmented_final/10097.png,RefineriesAndTerminals
12,augmented_final/10098.png,RefineriesAndTerminals
13,augmented_final/10099.png,RefineriesAndTerminals
14,augmented_final/10100.png,RefineriesAndTerminals
15,augmented_final/10101.png,RefineriesAndTerminals
16,augmented_final/10102.png,RefineriesAndTerminals
17,augmented_final/10103.png,RefineriesAndTerminals
18,augmented_final/10104.png,RefineriesAndTerminals
19,augmented_final/10105.png,RefineriesAndTerminals
20,augmented_final/10106.png,RefineriesAndTerminals
21,augmented_final/10107.png,RefineriesAndTerminals
22,augmented_final/10108.png,RefineriesAndTerminals
23,augmented_final/10109.png,RefineriesAndTerminals
24,augmented_final/10110.png,RefineriesAndTerminals
25,augmented_final/10111.png,RefineriesAndTerminals
26,augmented_final/10112.png,RefineriesAndTerminals
27,augmented_final/10113.png,RefineriesAndTerminals
28,augmented_final/10114.png,RefineriesAndTerminals
29,augmented_final/10115.png,RefineriesAndTerminals
30,augmented_final/10116.png,RefineriesAndTerminals
31,augmented_final/10117.png,RefineriesAndTerminals
32,augmented_final/10118.png,RefineriesAndTerminals
33,augmented_final/10119.png,RefineriesAndTerminals
34,augmented_final/10120.png,RefineriesAndTerminals
35,augmented_final/10121.png,RefineriesAndTerminals
36,augmented_final/10122.png,RefineriesAndTerminals
37,augmented_final/10123.png,RefineriesAndTerminals
38,augmented_final/10124.png,RefineriesAndTerminals
39,augmented_final/10125.png,RefineriesAndTerminals
40,augmented_final/10126.png,RefineriesAndTerminals
41,augmented_final/10127.png,RefineriesAndTerminals
42,augmented_final/10128.png,RefineriesAndTerminals
43,augmented_final/10129.png,RefineriesAndTerminals
44,augmented_final/10130.png,RefineriesAndTerminals
45,augmented_final/10131.png,RefineriesAndTerminals
46,augmented_final/10132.png,RefineriesAndTerminals
47,augmented_final/10133.png,RefineriesAndTerminals
48,augmented_final/10134.png,RefineriesAndTerminals
49,augmented_final/10135.png,RefineriesAndTerminals
50,augmented_final/10136.png,RefineriesAndTerminals
51,augmented_final/10137.png,RefineriesAndTerminals
52,augmented_final/10138.png,RefineriesAndTerminals
53,augmented_final/10139.png,RefineriesAndTerminals
54,augmented_final/10140.png,RefineriesAndTerminals
55,augmented_final/10141.png,RefineriesAndTerminals
56,augmented_final/10142.png,RefineriesAndTerminals
57,augmented_final/10143.png,RefineriesAndTerminals
58,augmented_final/10144.png,RefineriesAndTerminals
59,augmented_final/10145.png,RefineriesAndTerminals
60,augmented_final/10146.png,RefineriesAndTerminals
61,augmented_final/10147.png,RefineriesAndTerminals
62,augmented_final/10148.png,RefineriesAndTerminals
63,augmented_final/10149.png,RefineriesAndTerminals
64,augmented_final/10150.png,RefineriesAndTerminals
65,augmented_final/10151.png,RefineriesAndTerminals
66,augmented_final/10152.png,RefineriesAndTerminals
67,augmented_final/10153.png,RefineriesAndTerminals
68,augmented_final/10154.png,RefineriesAndTerminals
69,augmented_final/10155.png,RefineriesAndTerminals
70,augmented_final/10156.png,RefineriesAndTerminals
71,augmented_final/10157.png,RefineriesAndTerminals
72,augmented_final/10158.png,RefineriesAndTerminals
73,augmented_final/10159.png,RefineriesAndTerminals
74,augmented_final/10160.png,RefineriesAndTerminals
75,augmented_final/10161.png,RefineriesAndTerminals
76,augmented_final/10162.png,RefineriesAndTerminals
77,augmented_final/10163.png,RefineriesAndTerminals
78,augmented_final/10164.png,RefineriesAndTerminals
79,augmented_final/10165.png,RefineriesAndTerminals
80,augmented_final/10166.png,RefineriesAndTerminals
81,augmented_final/10167.png,RefineriesAndTerminals
82,augmented_final/10168.png,RefineriesAndTerminals
83,augmented_final/10169.png,RefineriesAndTerminals
84,augmented_final/10170.png,RefineriesAndTerminals
85,augmented_final/10171.png,RefineriesAndTerminals
86,augmented_final/10172.png,RefineriesAndTerminals
87,augmented_final/10173.png,RefineriesAndTerminals
88,augmented_final/10174.png,RefineriesAndTerminals
89,augmented_final/10175.png,RefineriesAndTerminals
90,augmented_final/10176.png,RefineriesAndTerminals
91,augmented_final/10177.png,RefineriesAndTerminals
92,augmented_final/10178.png,RefineriesAndTerminals
93,augmented_final/10179.png,RefineriesAndTerminals
94,augmented_final/10180.png,RefineriesAndTerminals
95,augmented_final/10181.png,RefineriesAndTerminals
96,augmented_final/10182.png,RefineriesAndTerminals
97,augmented_final/10183.png,RefineriesAndTerminals
98,augmented_final/10184.png,RefineriesAndTerminals
99,augmented_final/10185.png,RefineriesAndTerminals
100,augmented_final/10186.png,RefineriesAndTerminals
101,augmented_final/10187.png,RefineriesAndTerminals
102,augmented_final/10188.png,RefineriesAndTerminals
103,augmented_final/10189.png,RefineriesAndTerminals
104,augmented_final/10190.png,RefineriesAndTerminals
105,augmented_final/10191.png,RefineriesAndTerminals
106,augmented_final/10192.png,RefineriesAndTerminals
107,augmented_final/10193.png,RefineriesAndTerminals
108,augmented_final/10194.png,RefineriesAndTerminals
109,augmented_final/10195.png,RefineriesAndTerminals
110,augmented_final/10196.png,RefineriesAndTerminals
111,augmented_final/10197.png,RefineriesAndTerminals
112,augmented_final/10198.png,RefineriesAndTerminals
113,augmented_final/10199.png,RefineriesAndTerminals
114,augmented_final/10200.png,RefineriesAndTerminals
115,augmented_final/10201.png,RefineriesAndTerminals
116,augmented_final/10202.png,RefineriesAndTerminals
117,augmented_final/10203.png,RefineriesAndTerminals
118,augmented_final/10204.png,RefineriesAndTerminals
119,augmented_final/10205.png,RefineriesAndTerminals
120,augmented_final/10206.png,RefineriesAndTerminals
121,augmented_final/10207.png,RefineriesAndTerminals
122,augmented_final/10208.png,RefineriesAndTerminals
123,augmented_final/10209.png,RefineriesAndTerminals
124,augmented_final/10210.png,RefineriesAndTerminals
125,augmented_final/10211.png,RefineriesAndTerminals
126,augmented_final/10212.png,RefineriesAndTerminals
127,augmented_final/10213.png,RefineriesAndTerminals
128,augmented_final/10214.png,RefineriesAndTerminals
129,augmented_final/10215.png,RefineriesAndTerminals
130,augmented_final/10216.png,RefineriesAndTerminals
131,augmented_final/10217.png,RefineriesAndTerminals
132,augmented_final/10218.png,RefineriesAndTerminals
133,augmented_final/10219.png,RefineriesAndTerminals
134,augmented_final/10220.png,RefineriesAndTerminals
135,augmented_final/10221.png,RefineriesAndTerminals
136,augmented_final/10222.png,RefineriesAndTerminals
137,augmented_final/10223.png,RefineriesAndTerminals
138,augmented_final/10224.png,RefineriesAndTerminals
139,augmented_final/10225.png,RefineriesAndTerminals
140,augmented_final/10226.png,RefineriesAndTerminals
141,augmented_final/10227.png,RefineriesAndTerminals
142,augmented_final/10228.png,RefineriesAndTerminals
143,augmented_final/10229.png,RefineriesAndTerminals
144,augmented_final/10230.png,RefineriesAndTerminals
145,augmented_final/10231.png,RefineriesAndTerminals
146,augmented_final/10232.png,RefineriesAndTerminals
147,augmented_final/10233.png,RefineriesAndTerminals
148,augmented_final/10234.png,RefineriesAndTerminals
149,augmented_final/10235.png,RefineriesAndTerminals
